"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2799","Validation: First Name required on registration","default","2026-03-11","passed","2026-03-11","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","3401","Validation: Last Name required on registration","default","2026-03-11","passed","2026-03-11","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","12466","Authenticate leader","setup-auth","2026-03-11","passed","2026-03-11","Global Authentication Setup","setup/auth.setup.ts","",""
"","3501","Validation: Reset Password button is disabled on empty email submission","default","2026-03-11","passed","2026-03-11","Forgot Password Journey > Forgot Password - Boundary Validation","features/auth/forgot-password.spec.ts","",""
"","2679","Security Check: Unauthorized Access Redirect","default","2026-03-11","passed","2026-03-11","Login – Single User","features/auth/login.spec.ts","",""
"","18302","Validation: Missing email submission","default","2026-03-11","passed","2026-03-11","Login – Single User > Invalid Login – Boundary & Validation","features/auth/login.spec.ts","",""
"","5520","Expired Card - Verify expiry validation feedback","default","2026-03-11","passed","2026-03-11","Stripe Payment Validation","features/payment/stripe-payment-validation.spec.ts","",""
"","18613","Validation: Empty credentials submission","default","2026-03-11","passed","2026-03-11","Login – Single User > Invalid Login – Boundary & Validation","features/auth/login.spec.ts","",""
"","5393","Scenario: Unregistered user cannot login with a generated email","default","2026-03-11","passed","2026-03-11","Login – Single User > Invalid Login – Boundary & Validation","features/auth/login.spec.ts","",""
"","14914","Authenticate member","setup-auth","2026-03-11","passed","2026-03-11","Global Authentication Setup","setup/auth.setup.ts","",""
"","3273","Verify chat widget is visible after login","default","2026-03-11","passed","2026-03-11","Chat Widget Visibility","features/general/chat-widget.spec.ts","",""
"","18060","Security Check: Post-Logout Back-Button Restriction","default","2026-03-11","passed","2026-03-11","Login – Single User","features/auth/login.spec.ts","",""
"","6905","Declined Card - Verify error feedback","default","2026-03-11","passed","2026-03-11","Stripe Payment Validation","features/payment/stripe-payment-validation.spec.ts","",""
"","7740","Successful Transaction - Verify happy path completion","default","2026-03-11","passed","2026-03-11","Stripe Payment Validation","features/payment/stripe-payment-validation.spec.ts","",""
"","5501","Invalid CVC - Verify security code validation","default","2026-03-11","passed","2026-03-11","Stripe Payment Validation","features/payment/stripe-payment-validation.spec.ts","",""
"","1508","SEC-01: Guest user is redirected to login from private pages @regression","default","2026-03-11","passed","2026-03-11","Core Perimeter Audit","features/core/security-audit.spec.ts","",""
"","2965","Format Constraint: First Name (Regex: Only letters allowed)","default","2026-03-11","passed","2026-03-11","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","3327","Verify password visibility can be toggled in Registration","default","2026-03-11","passed","2026-03-11","Registration - Password Visibility","features/auth/registration.spec.ts","",""
"","2976","Format Constraint: Last Name (Regex: Only letters allowed)","default","2026-03-11","passed","2026-03-11","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","2884","Format Constraint: Password (Minimum Complexity: Len, Mix, Digit)","default","2026-03-11","passed","2026-03-11","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","7472","Scenario: Registered member cannot login with incorrect password","default","2026-03-11","passed","2026-03-11","Login – Single User > Invalid Login – Boundary & Validation","features/auth/login.spec.ts","",""
"","547","Phase 2: OTP Resend Trigger & New Code Verification","default","2026-03-11","passed","2026-03-11","Registration - Resend OTP Lifecycle","features/auth/registration.spec.ts","",""
"","18003","Validation: Missing password submission","default","2026-03-11","passed","2026-03-11","Login – Single User > Invalid Login – Boundary & Validation","features/auth/login.spec.ts","",""
"","10139","Phase 1: Registration Entry & Resend UI Countdown","default","2026-03-11","passed","2026-03-11","Registration - Resend OTP Lifecycle","features/auth/registration.spec.ts","",""
"","3151","Validation: Password required on registration","default","2026-03-11","passed","2026-03-11","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","5367","Scenario: Registered member fails login with minimum password length violation","default","2026-03-11","passed","2026-03-11","Login – Single User > Invalid Login – Boundary & Validation","features/auth/login.spec.ts","",""
"","3473","Validation: Email required on registration","default","2026-03-11","passed","2026-03-11","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","3083","Format Constraint: Email (System-wide Collision check)","default","2026-03-11","passed","2026-03-11","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","2382","SEC-03: Dashboard Link Integrity Scan @regression","default","2026-03-11","passed","2026-03-11","Core Perimeter Audit","features/core/security-audit.spec.ts","",""
"","2579","Verify chat widget is visible before login","default","2026-03-11","passed","2026-03-11","Chat Widget Visibility","features/general/chat-widget.spec.ts","",""
